workload,N,n_warps,div_ratio,param,warp_cycles,active_lane_cycles,utilization,cycles_per_warp,cycles_per_thread,mem_lane_ops,memops_per_cycle,divergent_branches,reconverges
compute_heavy,256,8,-1.00,500,4032,129024,1.000000,504.000000,15.75000000,768,0.190476,0,0
compute_heavy,512,16,-1.00,10,224,7168,1.000000,14.000000,0.43750000,1536,6.857143,0,0
compute_heavy,512,16,-1.00,50,864,27648,1.000000,54.000000,1.68750000,1536,1.777778,0,0
compute_heavy,512,16,-1.00,200,3264,104448,1.000000,204.000000,6.37500000,1536,0.470588,0,0
compute_heavy,512,16,-1.00,500,8064,258048,1.000000,504.000000,15.75000000,1536,0.190476,0,0
memory_heavy,48,2,-1.00,5,22,528,0.750000,11.000000,0.45833333,480,21.818182,0,0
memory_heavy,48,2,-1.00,20,82,1968,0.750000,41.000000,1.70833333,1920,23.414634,0,0
memory_heavy,48,2,-1.00,50,202,4848,0.750000,101.000000,4.20833333,4800,23.762376,0,0
memory_heavy,48,2,-1.00,100,402,9648,0.750000,201.000000,8.37500000,9600,23.880597,0,0
memory_heavy,48,2,-1.00,200,802,19248,0.750000,401.000000,16.70833333,19200,23.940150,0,0
memory_heavy,64,2,-1.00,5,22,704,1.000000,11.000000,0.34375000,640,29.090909,0,0
memory_heavy,64,2,-1.00,20,82,2624,1.000000,41.000000,1.28125000,2560,31.219512,0,0
memory_heavy,64,2,-1.00,50,202,6464,1.000000,101.000000,3.15625000,6400,31.683168,0,0
memory_heavy,64,2,-1.00,100,402,12864,1.000000,201.000000,6.28125000,12800,31.840796,0,0
memory_heavy,64,2,-1.00,200,802,25664,1.000000,401.000000,12.53125000,25600,31.920200,0,0
memory_heavy,96,3,-1.00,5,33,1056,1.000000,11.000000,0.34375000,960,29.090909,0,0
memory_heavy,96,3,-1.00,20,123,3936,1.000000,41.000000,1.28125000,3840,31.219512,0,0
memory_heavy,96,3,-1.00,50,303,9696,1.000000,101.000000,3.15625000,9600,31.683168,0,0
memory_heavy,96,3,-1.00,100,603,19296,1.000000,201.000000,6.28125000,19200,31.840796,0,0
memory_heavy,96,3,-1.00,200,1203,38496,1.000000,401.000000,12.53125000,38400,31.920200,0,0
memory_heavy,128,4,-1.00,5,44,1408,1.000000,11.000000,0.34375000,1280,29.090909,0,0
memory_heavy,128,4,-1.00,20,164,5248,1.000000,41.000000,1.28125000,5120,31.219512,0,0
memory_heavy,128,4,-1.00,50,404,12928,1.000000,101.000000,3.15625000,12800,31.683168,0,0
memory_heavy,128,4,-1.00,100,804,25728,1.000000,201.000000,6.28125000,25600,31.840796,0,0
memory_heavy,128,4,-1.00,200,1604,51328,1.000000,401.000000,12.53125000,51200,31.920200,0,0
memory_heavy,256,8,-1.00,5,88,2816,1.000000,11.000000,0.34375000,2560,29.090909,0,0
memory_heavy,256,8,-1.00,20,328,10496,1.000000,41.000000,1.28125000,10240,31.219512,0,0
memory_heavy,256,8,-1.00,50,808,25856,1.000000,101.000000,3.15625000,25600,31.683168,0,0
memory_heavy,256,8,-1.00,100,1608,51456,1.000000,201.000000,6.28125000,51200,31.840796,0,0
memory_heavy,256,8,-1.00,200,3208,102656,1.000000,401.000000,12.53125000,102400,31.920200,0,0
memory_heavy,512,16,-1.00,5,176,5632,1.000000,11.000000,0.34375000,5120,29.090909,0,0
memory_heavy,512,16,-1.00,20,656,20992,1.000000,41.000000,1.28125000,20480,31.219512,0,0
memory_heavy,512,16,-1.00,50,1616,51712,1.000000,101.000000,3.15625000,51200,31.683168,0,0
memory_heavy,512,16,-1.00,100,3216,102912,1.000000,201.000000,6.28125000,102400,31.840796,0,0
memory_heavy,512,16,-1.00,200,6416,205312,1.000000,401.000000,12.53125000,204800,31.920200,0,0
